key1,基金产品前缀
创金合信,创金合信|创金
摩根士丹利华鑫,大摩|摩根士丹利华鑫
东方红资产管理,东方红
工银瑞信,工银瑞信|工银
光大保德信,光大保德信|光大
国海富兰克林,国富|富兰克林国海
国开泰富,国开泰富|国开
国寿安保,国寿安保|国寿
国投瑞银,国投瑞银|国投
恒生前海,恒生前海|恒生
红土创新,红土创新|红土
华泰柏瑞,华泰柏瑞|华泰
交银,交银施罗德|交银
民生加银,民生加银|民生
农银汇理,农银汇理|农银
浦银安盛,浦银安盛|浦银
上投摩根,上投摩根|上投
泰达宏利,泰达宏利|泰达
西部利得,西部利得|西部
中信保诚,中信保诚|信诚
景顺长城,
申万菱信,
汇丰晋信,
信达澳银,
金元顺安,
方正富邦,
华宸未来,
红塔红土,
华润元大,
前海开源,
中信建投,
圆信永丰,
北信瑞丰,
中科沃土,
华泰保兴,
国泰,
南方,
华夏,
华安,
博时,
鹏华,
长盛,
嘉实,
大成,
富国,
易方达,
宝盈,
融通,
银华,
长城,
银河,
万家,
金鹰,
招商,
华宝,
国联安,
海富通,
长信,
泰信,
天治,
广发,
兴全,
诺安,
中海,
华富,
东方,
中银,
东吴,
天弘,
新华,
汇添富,
建信,
华商,
益民,
中邮,
诺德,
中欧,
浙商,
平安,
富安达,
财通,
长安,
国金,
安信,
德邦,
英大,
江信,
太平,
东海,
中加,
兴业,
中融,
上银,
鑫元,
永赢,
兴银,
中金,
嘉合,
九泰,
泓德,
金信,
新沃,
富荣,
汇安,
先锋,
鹏扬,
格林,
南华,
蜂巢,
中庚,
湘财,
睿远,
淳厚,
同泰,
惠升,
华融,
明亚,
西藏东财,西藏东财|东财
新疆前海联合,新疆前海联合|前海联合
中航,
凯石,
国融,
东方阿尔法,
恒越,
弘毅远方,
合煦智远,
博道,
朱雀,
博远,
达诚,
兴华,
